name,easting,northing,grid,lat,lon,metres_amsl,changed_location,prev_easting,prev_northing,prev_lat,_prev_lon,prev_metres_amsl,last_year_location_1,last_month_location_1,first_year_location_2,first_month_location_2
Aberporth,224100,252100,British,52.139,-4.570,133,N,,,,,,,,,
Armagh,287800,345800,Irish,54.352,-6.649,62,N,,,,,,,,,
Ballypatrick Forest,317600,438600,Irish,55.181,-6.153,156,N,,,,,,,,,
Bradford,414900,435200,British,53.813,-1.772,134,N,,,,,,,,,
Braemar,,,,,,,Y,,,,,,,,,
Camborne,162700,40700,British,50.218,-5.327,87,N,,,,,,,,,
Cambridge NIAB,543500,260600,British,52.245,0.102,26,N,,,,,,,,,
Cardiff Bute Park,317600,177300,British,51.488,-3.187,9,N,,,,,,,,,
Chivenor,249600,134400,British,51.089,-4.147,6,N,,,,,,,,,
Cwmystwyth,277300,274900,British,52.358,-3.802,301,N,,,,,,,,,
Dunstaffnage,188100,734000,British,56.451,-5.439,3,N,,,,,,,,,
Durham,426700,541500,British,54.768,-1.585,102,N,,,,,,,,,
Eastbourne,561100,98300,British,50.762,0.285,7,N,,,,,,,,,
Eskdalemuir,323400,602600,British,55.311,-3.206,242,N,,,,,,,,,
Heathrow (London Airport),507800,176700,British,51.479,-0.449,25,N,,,,,,,,,
Hurn,411700,97800,British,50.779,-1.835,10,N,,,,,,,,,
Lerwick,445300,1139700,British,60.139,-1.183,82,N,,,,,,,,,
Leuchars,346800,720900,British,56.377,-2.861,10,N,,,,,,,,,
Lowestoft / Lowestoft Monckton Ave from Sept 2007,,,,,,,Y,,,,,,,,,
Manston,632300,166100,British,51.346,1.337,49,N,,,,,,,,,
Nairn there is a site change in 1998,,,,,,,Y,,,,,,,,,
Newton Rigg,349300,530800,British,54.670,-2.786,169,N,,,,,,,,,
Oxford,450900,207200,British,51.761,-1.262,63,N,,,,,,,,,
Paisley,247800,664200,British,55.846,-4.430,32,N,,,,,,,,,
Ringway,381400,384400,British,53.356,-2.279,69,N,,,,,,,,,
Ross-On-Wye,359800,223800,British,51.911,-2.584,67,N,,,,,,,,,
Shawbury,355200,322100,British,52.794,-2.663,72,N,,,,,,,,,
Sheffield,433900,387200,British,53.381,-1.490,131,N,,,,,,,,,
Southampton,,,,,,,Y,,,,,,,,,
Stornoway,146400,933200,British,58.214,-6.318,15,N,,,,,,,,,
Sutton Bonington,450700,325900,British,52.833,-1.250,48,N,,,,,,,,,
Tiree,99800,744800,British,56.500,-6.880,12,N,,,,,,,,,
Valley,230800,375800,British,53.252,-4.535,10,N,,,,,,,,,
Waddington,498800,365300,British,53.175,-0.522,68,N,,,,,,,,,
Whitby Coastguard / Whitby(from 2000 and $sunshine),,,,,,,Y,,,,,,,,,
Wick Airport,336500,952200,British,58.454,-3.088,36,N,,,,,,,,,
Yeovilton,355100,123200,British,51.006,-2.641,20,N,,,,,,,,,